,batch,iteration,seg,ne,inf,lap,nframes,nobjects
0,0,0,28.37595443520695,0.869776401668787,4.070185245014727,0.45308675710111856,42,1030
1,1,0,17.916780757717788,0.38490006513893604,2.434565198607743,0.4453016994521022,42,1109
2,2,0,18.63492674846202,0.4517306061461568,2.5927415173500776,0.7071524662896991,42,2122
3,3,0,17.58273167256266,0.1489753434434533,2.4565801341086626,0.35455012135207653,42,540
4,4,0,17.714107030071318,0.14712570421397686,2.45731967035681,0.38594857696443796,42,712
5,5,0,21.847260585054755,0.12660231441259384,4.578912108205259,0.44653360173106194,50,397
6,6,0,22.133063203655183,0.12576891854405403,3.029127586632967,0.3889247542247176,50,206
7,7,0,31.661584114655852,0.44780208542943,4.532234998419881,1.5142971398308873,71,5056
8,8,0,40.847339721396565,0.8524468764662743,5.238663780502975,5.197094786912203,71,15174
9,9,0,29.866206030361354,0.6613294687122107,4.330139241181314,3.1238846769556403,65,9357
10,10,0,19.60886167548597,0.5035730544477701,2.8193496065214276,1.1795286517590284,45,3975
11,11,0,25.466751298867166,0.7874027071520686,3.8505245596170425,3.0034852251410484,55,10097
12,0,1,17.759091529995203,0.07034462131559849,2.4710410153493285,0.4499234100803733,42,1030
13,1,1,17.736852086149156,0.07051120046526194,2.4907422848045826,0.46152682416141033,42,1109
14,2,1,18.646538889966905,0.08459160197526217,2.4929538099095225,0.6987516563385725,42,2122
15,3,1,17.59448991343379,0.06654071155935526,2.428954138420522,0.34835719875991344,42,540
16,4,1,17.555530406534672,0.06735066138207912,2.421216976828873,0.3729009171947837,42,712
17,5,1,21.753683264367282,0.06433932017534971,2.9967757053673267,0.44625226501375437,50,397
18,6,1,21.8780464399606,0.061579629778862,2.9593588458374143,0.3860422158613801,50,206
19,7,1,30.952088550664485,0.2744153495877981,4.393205612897873,1.5508814277127385,71,5056
20,8,1,41.22592311818153,0.4415925648063421,5.1944776782765985,5.231590712442994,71,15174
21,9,1,29.539398570545018,0.36448601353913546,4.4232483664527535,3.1061822483316064,65,9357
22,10,1,19.61720814090222,0.28807175531983376,2.8247219640761614,1.2004072526469827,45,3975
23,11,1,25.622086231596768,0.36863281950354576,3.887134241871536,2.979425066150725,55,10097
24,0,2,17.809556211344898,0.06892638001590967,2.4954844443127513,0.44820609502494335,42,1030
25,1,2,17.870898229070008,0.06798655912280083,2.4945131400600076,0.4432443371042609,42,1109
26,2,2,18.44872613530606,0.08105494640767574,2.533078503794968,0.7000046242028475,42,2122
27,3,2,17.54030359443277,0.07196814566850662,2.426016108132899,0.3542396267876029,42,540
28,4,2,17.653547051362693,0.06733550038188696,2.4110888997092843,0.37164861150085926,42,712
29,5,2,21.786706580780447,0.06213120557367802,2.9273252096027136,0.43078663386404514,50,397
30,6,2,23.715410850942135,0.0648776302114129,3.1939620403572917,0.3742219367995858,50,206
31,7,2,31.394944430328906,0.2995519833639264,4.531334016472101,1.5683686509728432,71,5056
32,8,2,41.2741742329672,0.44967291317880154,5.3181589506566525,5.246524049900472,71,15174
33,9,2,29.45056671090424,0.4038818534463644,4.428258999250829,3.125132448039949,65,9357
34,10,2,19.80232036486268,0.30476019717752934,2.847181221470237,1.1725111166015267,45,3975
35,11,2,25.734312900342047,0.37470618449151516,3.860519740730524,3.0145295029506087,55,10097
